,name,id,start_date,kilojoules
0,Prépa Trail 42km W2S2,16150214950,2025-10-15T14:59:57Z,695.3
1,Prépa Trail 42km W2S1,16137965500,2025-10-14T13:15:30Z,596.5
2,Afternoon Run,16126906432,2025-10-13T13:13:57Z,325.6
3,Prépa Trail 42km W1S4,16097780019,2025-10-10T15:45:59Z,1438.9
4,Prépa Trail 42km W1S3,16087030269,2025-10-09T15:40:20Z,650.3
5,Prépa Trail 42km W1S2,16060227073,2025-10-07T07:51:20Z,557.4
6,Prepa Trail 42km W1S1,16052064576,2025-10-06T13:13:32Z,549.1
7,Afternoon Run,16042095186,2025-10-05T13:31:57Z,184.5
8,Morning Run,16017710458,2025-10-03T07:40:45Z,652.9
9,Afternoon Run,16009594434,2025-10-02T12:43:55Z,584.7
10,Prépa 23km trail,15984024772,2025-09-30T08:01:54Z,668.3
11,10km Rouen,15957244593,2025-09-27T19:12:00Z,893.6
12,Fin de carrière...,15683439604,2025-09-03T14:13:07Z,181.7
13,LETSSSSGOOOO,15645599213,2025-08-31T07:00:16Z,1761.0
14,"J-6 Trail de Vernon, je suis trop hype",15580688900,2025-08-25T12:56:21Z,462.3
15,First trail ever,15558094920,2025-08-23T11:27:07Z,1322.6
16,Afternoon Run,15547562025,2025-08-22T13:56:48Z,611.0
17,Entraînement 10km Rouen,15536836544,2025-08-21T14:28:49Z,447.1
18,Entraînement 10km Rouen,15525806695,2025-08-20T14:48:08Z,626.6
19,Entraînement 10km Rouen,15514449122,2025-08-19T15:03:42Z,451.5
20,Entraînement 10km Rouen,15503090113,2025-08-18T16:17:50Z,901.8
21,Entraînement 10km Rouen,15478552266,2025-08-16T12:32:43Z,586.5
22,Afternoon Run,15456578422,2025-08-14T13:16:55Z,450.1
23,Test max 1km,15445992238,2025-08-13T15:07:33Z,84.0
24,Afternoon Run,15445987298,2025-08-13T14:26:18Z,452.4
25,Entraînement 10km Rouen,15423166571,2025-08-11T16:03:54Z,735.2
26,Entraînement 10km Rouen,15397589034,2025-08-09T10:43:33Z,437.9
27,Entraînement 10km Rouen,15385912981,2025-08-08T09:33:09Z,540.5
28,Entraînement 10km Rouen,15374295773,2025-08-07T09:16:02Z,464.2
29,Entraînement 10km Rouen,15363073239,2025-08-06T10:06:15Z,592.7
30,Entraînement 10km Rouen,15342084372,2025-08-04T13:42:43Z,483.7
31,Entraînement 10km Rouen,15329695967,2025-08-03T11:37:53Z,479.2
32,Entraînement 10km Rouen,15317525853,2025-08-02T10:28:03Z,471.7
33,"Entraînement 10km Rouen
Séance 2:
Course 31min: 5:40",15306203468,2025-08-01T09:04:56Z,497.9
34,"Entraînement 10km Rouen
Séance 1:

Échauffement 10min: 5:45/6:00
Pause 30s
Course 15min: 5:00/5:15
Pause 30s
Récup 10min: 5:45/6:00",15297817567,2025-07-31T13:00:00Z,591.4
35,Afternoon Run,15285997331,2025-07-30T12:14:42Z,472.9
36,Afternoon Run,15263326373,2025-07-28T13:00:32Z,326.5
37,Afternoon Run,15005178636,2025-07-04T14:09:23Z,185.5
38,Afternoon Run,14932925820,2025-06-27T14:39:50Z,477.4
39,Afternoon Run,14900433439,2025-06-24T12:17:01Z,478.9
40,Afternoon Run,14891351850,2025-06-23T14:56:52Z,483.1
41,Afternoon Run,14859329053,2025-06-20T11:52:36Z,334.3
42,Afternoon Run,14849530931,2025-06-19T12:52:26Z,334.3
43,Afternoon Run,14827190315,2025-06-17T12:20:27Z,322.1
44,Afternoon Run,14765585964,2025-06-11T11:56:26Z,644.7
45,Afternoon Run,14705674214,2025-06-05T15:24:59Z,652.8
46,Afternoon Run,14672412149,2025-06-02T13:09:39Z,473.2
47,Afternoon Run,14599074552,2025-05-26T11:23:44Z,474.5
48,Lunch Run,14588937438,2025-05-25T10:24:18Z,480.8
49,Lunch Run,14559614406,2025-05-22T10:53:03Z,460.6
50,Afternoon Run,14527881525,2025-05-19T11:34:24Z,283.5
51,Afternoon Run,14519123569,2025-05-18T12:57:57Z,324.5
52,Evening Run,14500287563,2025-05-16T16:39:25Z,462.6
53,Morning Run,14463939601,2025-05-13T07:18:08Z,467.2
54,Afternoon Run,14446878617,2025-05-11T13:06:14Z,321.8
55,Afternoon Run,14425356169,2025-05-09T12:37:12Z,473.2
56,New 5k PR 🎉,14406606206,2025-05-07T13:32:10Z,459.4
57,Miss PB...,14386025142,2025-05-05T15:33:41Z,461.4
58,Afternoon Run,14365889461,2025-05-03T14:25:09Z,647.0
59,Afternoon Run,14353861867,2025-05-02T11:53:41Z,654.3
60,Afternoon Run,14321852871,2025-04-29T12:39:57Z,474.5
61,Chill 5k,14312012122,2025-04-28T13:43:08Z,463.7
62,Afternoon Run,14295308324,2025-04-26T12:43:02Z,459.3
63,5km sub 24,14250549284,2025-04-22T10:31:46Z,462.1
64,Test allure 4:30 pt.2,14234124909,2025-04-20T15:08:01Z,230.6
65,Test allure 4:30 pt.1,14234124267,2025-04-20T14:53:47Z,226.7
66,Afternoon Run,14223985631,2025-04-19T14:04:22Z,943.2
67,Afternoon Run,14194133150,2025-04-16T13:15:32Z,464.6
68,Afternoon Run,14175557185,2025-04-14T15:19:54Z,472.3
69,First Toinz's run of 2025,14164796198,2025-04-13T11:34:33Z,298.3
70,5km EF,14147587813,2025-04-11T16:20:45Z,471.8
71,cardio after workout,14106868843,2025-04-07T14:04:44Z,281.3
72,Chill 5k,14088066118,2025-04-05T14:12:36Z,473.8
73,Afternoon Run,14078305148,2025-04-04T14:12:20Z,457.6
74,ez,14068494201,2025-04-03T13:40:10Z,480.5
75,Afternoon Run,14061678650,2025-04-02T14:44:38Z,465.8
76,Afternoon Run,14038383362,2025-03-31T12:46:45Z,394.8
77,10k in pain,14020823219,2025-03-29T13:41:13Z,947.3
78,Afternoon Run,14002587041,2025-03-27T14:30:01Z,464.6
79,1h run,13993907029,2025-03-26T15:39:30Z,988.4
80,Lunch Run,13972077955,2025-03-24T11:11:08Z,470.7
81,Afternoon Run,13954304186,2025-03-22T12:52:39Z,764.3
82,First 5k,13943708973,2025-03-21T10:19:01Z,478.3
83,Afternoon Run,13927346809,2025-03-19T14:44:23Z,935.5
84,Lunch Run,13906587182,2025-03-17T10:56:18Z,968.0
85,Evening Run,13901459544,2025-03-16T17:21:03Z,341.2
