activity_id,activity_name,activity_type,segment_id,segment_name,distance_m,avg_grade,elev_high,elev_low,start_lat,start_lng,end_lat,end_lng,starred
16150214950,Prépa Trail 42km W2S2,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
16150214950,Prépa Trail 42km W2S2,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
16150214950,Prépa Trail 42km W2S2,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
16150214950,Prépa Trail 42km W2S2,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
16150214950,Prépa Trail 42km W2S2,root='Run',9916665,Rue des sapins,970.2,11.4,247.6,137.2,49.44243,1.113076,49.448991,1.119666,
16150214950,Prépa Trail 42km W2S2,root='Run',9004154,Climb Rue des Sapins,876.8,12.5,128.8,19.2,49.443421,1.113235,49.449031,1.119717,
16150214950,Prépa Trail 42km W2S2,root='Run',20647186,Climb rue des sapins short,310.6,11.3,51.1,16.0,49.443438,1.113143,49.44603,1.114528,
16137965500,Prépa Trail 42km W2S1,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
16137965500,Prépa Trail 42km W2S1,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
16137965500,Prépa Trail 42km W2S1,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
16137965500,Prépa Trail 42km W2S1,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
16137965500,Prépa Trail 42km W2S1,root='Run',27431694,Saint Ex *3,2268.9,-0.1,-36.8,-40.8,49.440702,1.114884,49.440661,1.114905,
16137965500,Prépa Trail 42km W2S1,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
16137965500,Prépa Trail 42km W2S1,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
16137965500,Prépa Trail 42km W2S1,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
16137965500,Prépa Trail 42km W2S1,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
16137965500,Prépa Trail 42km W2S1,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
16126906432,Afternoon Run,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
16126906432,Afternoon Run,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
16097780019,Prépa Trail 42km W1S4,root='Run',19816263,Chemin des Vignes,205.8,13.1,51.3,24.4,49.440042,1.130022,49.441523,1.131638,
16097780019,Prépa Trail 42km W1S4,root='Run',34391063,Côte bord rocade nord est,264.8,10.1,113.0,86.3,49.452439,1.144122,49.450144,1.144257,
16097780019,Prépa Trail 42km W1S4,root='Run',34391063,Côte bord rocade nord est,264.8,10.1,113.0,86.3,49.452439,1.144122,49.450144,1.144257,
16060227073,Prépa Trail 42km W1S2,root='Run',38350723,Rue Louis Bouilhet,484.1,0.9,76.1,70.6,49.451637,1.106922,49.448336,1.11124,
16052064576,Prepa Trail 42km W1S1,root='Run',19973826,Saint Hilaire aux quais,1425.7,-0.4,22.9,11.9,49.441762,1.1126,49.437225,1.096877,
16052064576,Prepa Trail 42km W1S1,root='Run',37295121,1km Pont Corneille - Police,1017.9,0.0,5.0,4.6,49.437041,1.095256,49.440324,1.082218,
16052064576,Prepa Trail 42km W1S1,root='Run',6983954,Pont Boieldieu - Pont Jeanne d'Arc,228.2,0.5,5.6,4.1,49.43798,1.091526,49.438684,1.088607,
16052064576,Prepa Trail 42km W1S1,root='Run',20264765,De Jeanne à Guillaume,537.4,0.0,11.1,11.1,49.4387,1.088324,49.440374,1.08138,
16052064576,Prepa Trail 42km W1S1,root='Run',6219526,Pt. Jeanne D'Arc - Pt Guillaume le Conquérant,519.6,-0.7,6.2,1.5,49.438793,1.088258,49.440618,1.081674,
16052064576,Prepa Trail 42km W1S1,root='Run',14217727,pont Guillaume le Conquérant > pont Jeanne d'Arc rive gauche,525.1,0.0,23.2,20.4,49.439214,1.080738,49.437473,1.08744,
16052064576,Prepa Trail 42km W1S1,root='Run',26340114,Théâtre des arts - République,555.2,0.0,13.5,11.5,49.439136,1.088945,49.43754,1.096117,
16042095186,Afternoon Run,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
16042095186,Afternoon Run,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
16017710458,Morning Run,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
16017710458,Morning Run,root='Run',30114772,sprint muller,130.9,7.9,36.3,26.0,49.440442,1.127467,49.441552,1.128054,
16009594434,Afternoon Run,root='Run',15320945,Pont Corneille > Pont Guillaume le Conquérant RG,1060.9,-0.4,5.2,-0.6,49.435336,1.093799,49.439536,1.080913,
16009594434,Afternoon Run,root='Run',26340114,Théâtre des arts - République,555.2,0.0,13.5,11.5,49.439136,1.088945,49.43754,1.096117,
16009594434,Afternoon Run,root='Run',21809094,Rue des Augustins,291.8,2.1,12.0,6.0,49.437677,1.096313,49.438012,1.100154,
15984024772,Prépa 23km trail,root='Run',38250717,Bazire Court,412.2,2.5,60.8,49.2,49.448415,1.109117,49.450929,1.104983,
15984024772,Prépa 23km trail,root='Run',16848474,Fin rue Jouvenet,110.0,12.9,62.0,47.8,49.447709,1.108238,49.447112,1.109427,
15984024772,Prépa 23km trail,root='Run',13803637,Montée avenue Metayer,836.5,7.1,107.0,48.0,49.446345,1.109315,49.448785,1.118361,
15984024772,Prépa 23km trail,root='Run',24427784,Le petit single le long du Monumental ,310.4,5.7,124.4,106.0,49.449562,1.114576,49.448995,1.118475,
15957244593,10km Rouen,root='Run',21126898,République-Lecanuet Climb,887.0,1.4,27.4,14.5,49.43763,1.096616,49.443983,1.0951,
15957244593,10km Rouen,root='Run',13430355,rue de la République,531.0,0.9,9.2,2.6,49.437798,1.096406,49.442319,1.098575,
15957244593,10km Rouen,root='Run',37861377,Montée République et Lecanuet,754.0,1.6,24.0,12.0,49.438822,1.096756,49.443978,1.095848,
15957244593,10km Rouen,root='Run',23472166,Début Jean Lecanuet - Square Verdrel,349.3,0.5,27.4,23.9,49.443477,1.098232,49.444427,1.093662,
15957244593,10km Rouen,root='Run',26489153,Lecanuet - Gal Leclerc,772.7,-1.4,25.7,14.2,49.444093,1.095809,49.440455,1.089529,
15957244593,10km Rouen,root='Run',26253730,Descente Jeanne d'arc ,647.9,-1.7,24.4,13.2,49.444537,1.092206,49.439223,1.088723,
15957244593,10km Rouen,root='Run',26254524,Quais de Jeanne d'arc aux belges,463.0,-1.1,13.1,8.0,49.439236,1.088621,49.440919,1.082774,
15957244593,10km Rouen,root='Run',14217727,pont Guillaume le Conquérant > pont Jeanne d'Arc rive gauche,525.1,0.0,23.2,20.4,49.439214,1.080738,49.437473,1.08744,
15957244593,10km Rouen,root='Run',10482251,106 -> Prairie,796.0,0.3,12.3,3.3,49.439128,1.080605,49.436532,1.090703,
15957244593,10km Rouen,root='Run',14217717,pont Jeanne d'Arc > Pont Boieldieu rive gauche,207.3,0.6,22.4,21.0,49.437256,1.087941,49.436592,1.090591,
15683439604,Fin de carrière...,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15645599213,LETSSSSGOOOO,root='Run',36187722,Côte du Rouet,731.0,4.5,51.2,18.5,49.08397,1.514097,49.081047,1.52041,
15645599213,LETSSSSGOOOO,root='Run',20600602,pour vomir c'est par ici,111.1,2.7,37.7,34.7,49.080202,1.519564,49.081021,1.520326,
15645599213,LETSSSSGOOOO,root='Run',5914405,Le Bois de la Réserve Climb,623.1,11.7,114.4,41.7,49.081174,1.520385,49.086226,1.517738,
15645599213,LETSSSSGOOOO,root='Run',23449769,bosse des chèvres,228.7,20.2,120.7,74.4,49.078729,1.526647,49.080645,1.527245,
15645599213,LETSSSSGOOOO,root='Run',28173144,descente rue du grand val,187.9,-24.0,116.7,71.6,49.081377,1.530606,49.079733,1.530108,
15645599213,LETSSSSGOOOO,root='Run',5914403,Rue Hélène Pillon Climb,717.0,9.1,129.6,64.2,49.079841,1.530597,49.082196,1.536568,
15645599213,LETSSSSGOOOO,root='Run',39911218,mur de pierre !,343.1,14.1,91.1,42.7,49.075669,1.539622,49.076638,1.541933,
15645599213,LETSSSSGOOOO,root='Run',23839717,sur la falise,1234.1,-0.5,88.3,77.6,49.07799,1.552022,49.08041,1.567424,
15645599213,LETSSSSGOOOO,root='Run',23839639,bosse vers le chemin du Mortret,351.9,12.1,127.6,85.0,49.080509,1.567485,49.082768,1.56446,
15645599213,LETSSSSGOOOO,root='Run',23839769,regarde ou tu mets les pieds,1274.4,0.4,133.8,129.0,49.084756,1.563454,49.082768,1.547006,
15645599213,LETSSSSGOOOO,root='Run',27887591,vitesse sur 100m cani sports eure,183.6,0.3,118.0,116.7,49.086419,1.517433,49.087002,1.515164,
15645599213,LETSSSSGOOOO,root='Run',17723394,Descente Carpenter partie 1,150.8,-24.5,107.1,70.1,49.087199,1.51406,49.086958,1.512188,
15645599213,LETSSSSGOOOO,root='Run',17723450,Descente Carpenter,406.5,-21.5,107.6,19.7,49.087209,1.514053,49.08804,1.509841,
15645599213,LETSSSSGOOOO,root='Run',39609637,A travers champs,280.6,-0.5,16.1,14.3,49.09073,1.503362,49.088831,1.500876,
15580688900,"J-6 Trail de Vernon, je suis trop hype",root='Run',27431694,Saint Ex *3,2268.9,-0.1,-36.8,-40.8,49.440702,1.114884,49.440661,1.114905,
15580688900,"J-6 Trail de Vernon, je suis trop hype",root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15580688900,"J-6 Trail de Vernon, je suis trop hype",root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15580688900,"J-6 Trail de Vernon, je suis trop hype",root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15580688900,"J-6 Trail de Vernon, je suis trop hype",root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15580688900,"J-6 Trail de Vernon, je suis trop hype",root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15558094920,First trail ever,root='Run',38939729,Tout schuss dans the wall🌲,269.4,-29.0,108.6,30.4,49.434599,1.161529,49.433009,1.159823,
15558094920,First trail ever,root='Run',30341785,cantony 2,739.1,-1.0,30.6,23.4,49.433885,1.157851,49.437918,1.150522,
15547562025,Afternoon Run,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
15547562025,Afternoon Run,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15547562025,Afternoon Run,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15547562025,Afternoon Run,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
15547562025,Afternoon Run,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
15547562025,Afternoon Run,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15547562025,Afternoon Run,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15536836544,Entraînement 10km Rouen,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
15536836544,Entraînement 10km Rouen,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15536836544,Entraînement 10km Rouen,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15536836544,Entraînement 10km Rouen,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15536836544,Entraînement 10km Rouen,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
15536836544,Entraînement 10km Rouen,root='Run',21468475,400 m saint ex départ pompier sens horaire,393.3,0.1,10.9,8.3,49.440227,1.114947,49.440206,1.114867,
15525806695,Entraînement 10km Rouen,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
15525806695,Entraînement 10km Rouen,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15525806695,Entraînement 10km Rouen,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15525806695,Entraînement 10km Rouen,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15514449122,Entraînement 10km Rouen,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
15514449122,Entraînement 10km Rouen,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
15514449122,Entraînement 10km Rouen,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15514449122,Entraînement 10km Rouen,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15514449122,Entraînement 10km Rouen,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15514449122,Entraînement 10km Rouen,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
15514449122,Entraînement 10km Rouen,root='Run',21468475,400 m saint ex départ pompier sens horaire,393.3,0.1,10.9,8.3,49.440227,1.114947,49.440206,1.114867,
15503090113,Entraînement 10km Rouen,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
15503090113,Entraînement 10km Rouen,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15503090113,Entraînement 10km Rouen,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15503090113,Entraînement 10km Rouen,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15503090113,Entraînement 10km Rouen,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15503090113,Entraînement 10km Rouen,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
15503090113,Entraînement 10km Rouen,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15503090113,Entraînement 10km Rouen,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15456578422,Afternoon Run,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
15456578422,Afternoon Run,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
15456578422,Afternoon Run,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15456578422,Afternoon Run,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15456578422,Afternoon Run,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15456578422,Afternoon Run,root='Run',10890117,St Exupéry 350m,372.7,0.0,10.2,7.6,49.440172,1.116613,49.440102,1.11655,
15445992238,Test max 1km,root='Run',21468475,400 m saint ex départ pompier sens horaire,393.3,0.1,10.9,8.3,49.440227,1.114947,49.440206,1.114867,
15445992238,Test max 1km,root='Run',10890117,St Exupéry 350m,372.7,0.0,10.2,7.6,49.440172,1.116613,49.440102,1.11655,
15445992238,Test max 1km,root='Run',21468475,400 m saint ex départ pompier sens horaire,393.3,0.1,10.9,8.3,49.440227,1.114947,49.440206,1.114867,
15445992238,Test max 1km,root='Run',10890117,St Exupéry 350m,372.7,0.0,10.2,7.6,49.440172,1.116613,49.440102,1.11655,
15445987298,Afternoon Run,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
15445987298,Afternoon Run,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15445987298,Afternoon Run,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15445987298,Afternoon Run,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15445987298,Afternoon Run,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
15445987298,Afternoon Run,root='Run',21468475,400 m saint ex départ pompier sens horaire,393.3,0.1,10.9,8.3,49.440227,1.114947,49.440206,1.114867,
15423166571,Entraînement 10km Rouen,root='Run',13262340,rue des petites eaux ,1612.6,-0.1,17.8,10.0,49.438435,1.133888,49.441569,1.115287,
15423166571,Entraînement 10km Rouen,root='Run',17423013,robec sprint,342.1,-0.3,11.0,10.0,49.439213,1.126969,49.440369,1.122659,
15423166571,Entraînement 10km Rouen,root='Run',19200614,Try to catch the big fish,839.9,-0.1,17.7,14.1,49.439263,1.12683,49.441727,1.116123,
15423166571,Entraînement 10km Rouen,root='Run',27431694,Saint Ex *3,2268.9,-0.1,-36.8,-40.8,49.440702,1.114884,49.440661,1.114905,
15423166571,Entraînement 10km Rouen,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15423166571,Entraînement 10km Rouen,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
15423166571,Entraînement 10km Rouen,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15423166571,Entraînement 10km Rouen,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
15423166571,Entraînement 10km Rouen,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15423166571,Entraînement 10km Rouen,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
15423166571,Entraînement 10km Rouen,root='Run',27431694,Saint Ex *3,2268.9,-0.1,-36.8,-40.8,49.440702,1.114884,49.440661,1.114905,
15423166571,Entraînement 10km Rouen,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15423166571,Entraînement 10km Rouen,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
15423166571,Entraînement 10km Rouen,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15423166571,Entraînement 10km Rouen,root='Run',17220316,Tour St Ex 700M,732.1,-0.0,11.0,8.1,49.439616,1.116617,49.439624,1.116433,
15423166571,Entraînement 10km Rouen,root='Run',32156445,Bord St ex ,251.2,-0.2,107.4,105.8,49.439711,1.115318,49.439724,1.118531,
15397589034,Entraînement 10km Rouen,root='Run',33911037,Robec jusqu'au parc St Paul,915.1,0.2,12.2,9.0,49.441453,1.115217,49.439174,1.126928,
